id,name
0,Electronics
1,Camera &amp; Photo
2,Video Surveillance
3,Surveillance Systems
4,Surveillance DVR Kits
5,Electronics
5,Headphones
6,Earbud Headphones
7,Accessories
8,Blank Video Media
9,Hi-8
10,Surveillance Cameras
11,Dome Cameras
12,eBook Readers &amp; Accessories
13,Computers & Accessories
14,Tablet Accessories
15,"Bags, Cases & Sleeves"
16,Bundles
17,Digital Camera Accessories
18,Screen Protector Foils
19,Power Cables
20,Cases
21,Screen Protectors
22,eBook Readers & Accessories
23,Computers &amp; Accessories
24,Chargers &amp; Adapters
25,Covers
26,"Bags, Cases &amp; Sleeves"
27,Car &amp; Vehicle Electronics
28,Marine Electronics
29,Marine GPS Chartplotters
30,Marine GPS Accessories
31,Accessories &amp; Supplies
32,Audio &amp; Video Accessories
33,TV Accessories &amp; Parts
34,TV Ceiling &amp; Wall Mounts
35,Batteries &amp; Chargers
36,Adapters
37,Computer Accessories &amp; Peripherals
38,Computer Cable Adapters
39,USB-to-USB Adapters
40,Computer Accessories & Peripherals
41,Cables & Interconnects
42,USB Cables
43,DVI-HDMI Adapters
44,Styluses
45,Memory Cards
46,Micro SD Cards
47,Camera & Photo
48,Batteries & Chargers
49,Batteries
50,Camera Batteries
51,Computer Components
52,Internal Components
53,Memory
54,Networking Products
55,Routers
56,"Keyboards, Mice &amp; Accessories"
57,Keyboards
58,USB-to-VGA Adapters
59,Computers &amp; Tablets
60,Tablets
61,Aviation Electronics
62,Aircraft Accessories
63,Media Storage &amp; Organization
64,Power Adapters
65,Blank Media
66,Disc Jewel Cases
67,Computers & Tablets
68,Desktops
69,Reading Lights
70,Connectors &amp; Adapters
71,Accessories & Supplies
72,Audio & Video Accessories
73,Video Cables
74,HDMI Cables
75,Cables &amp; Interconnects
76,Film Photography
77,Film Cameras
78,Over-Ear Headphones
79,Portable Audio &amp; Video
80,MP3 &amp; MP4 Player Accessories
81,Remote Controls
82,Battery Chargers
83,Camera
84,Memory Card Accessories
85,Lighting & Studio
86,Photo Studio
87,Backgrounds
88,"Batteries, Chargers & Accessories"
89,AC Adapters
90,Data Storage
91,USB Flash Drives
92,Car & Vehicle Electronics
93,Car Electronics
94,Car Audio
95,Speakers
96,Coaxial Speakers
97,Connectors & Adapters
98,Binoculars & Scopes
99,Monoculars
100,Media Storage & Organization
101,Disc Storage Wallets
102,Amplifiers
103,Mono Amplifiers
104,Subwoofers
105,Component Subwoofers
106,Lighting
107,On-Camera Video Lights
108,Lighting &amp; Studio
109,Continuous Output Lighting
110,Office Electronics Accessories
111,Bags & Cases
112,Camera Cases
113,Stands
114,Laptop Accessories
115,Folio Cases
116,Sleeves
117,Hard Drive Accessories
118,Hard Drive Bags & Cases
119,USB Gadgets
120,Power Strips &amp; Surge Protectors
121,Power Strips
122,Bags &amp; Cases
123,Bag &amp; Case Accessories
124,Internal Optical Drives
125,Internal DVD Drives
126,External Components
127,Optical Drives
128,DVD Drives
129,Minidiscs
130,Audio Cables
131,Stereo Jack Cables
132,Security &amp; Surveillance
133,Security Sensors
134,Network Adapters
135,USB Network Adapters
136,"GPS, Finders &amp; Accessories"
137,GPS System Accessories
138,Chargers &amp; Cables
139,Print Servers
140,RCA Cables
141,Chargers & Adapters
142,"Batteries, Chargers &amp; Accessories"
143,Data Cartridges
144,SD Cards
145,Memory Card Adapters
